ADM0_CODE,mean_temp_2015_country,temp_min_exclusive,temp_max_inclusive,mcfpasture,mcfdaily,mcfsolid,mcfsolidcov,mcfsolidbulk,mcfsolidadd,mcfdrylot,mcfpit1,mcfpit3,mcfpit4,mcfpit6,mcfpit12,mcfliquid1,mcfliquid3,mcfliquid4,mcfliquid6,mcfliquid12,mcfliquidnatcov1,mcfliquidnatcov3,mcfliquidnatcov4,mcfliquidnatcov6,mcfliquidnatcov12,mcfliquidsolcov1,mcfliquidsolcov3,mcfliquidsolcov4,mcfliquidsolcov6,mcfliquidsolcov12,mcflagoon,mcfbiogaslowleak1,mcfbiogaslowleak2,mcfbiogaslowleak3,mcfbiogashighleak1,mcfbiogashighleak2,mcfbiogashighleak3,mcfburned,mcfdeepnomix2,mcfdeepnomix1,mcfdeepmix2,mcfdeepmix1,mcfcompostves,mcfcompoststat,mcfcompostint,mcfcompostpass,mcflitter,mcfnolitter,mcfareobic,mcfaerproc
234,-6.85494881926294,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
236,3.965449429774,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
237,6.04228486407825,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
239,0.932296322641468,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
256,8.74773155661248,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
259,8.46608056893596,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
2647,9.41878342628479,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
40781,-2.62943944183276,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
147295,7.04055235301099,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
27,10.3318754226986,10,11,1,0.1,2,2,2,2,1,3,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,68,10,10,10,10,10,10,10,19,3,19,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
34,10.4373215432621,10,11,1,0.1,2,2,2,2,1,3,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,68,10,10,10,10,10,10,10,19,3,19,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
177,10.6331291497198,10,11,1,0.1,2,2,2,2,1,3,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,68,10,10,10,10,10,10,10,19,3,19,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
203,10.9368774955759,10,11,1,0.1,2,2,2,2,1,3,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,68,10,10,10,10,10,10,10,19,3,19,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
