"COUNTRY","ADM0_CODE","Animal_short","HerdType_short","b0","mms","ipcc_ref"
"Congo",59,"CHK","LAY",0.39,"","2006; 2019"
"Congo",59,"CHK","BRL",0.36,"","2006; 2019"
"Congo",59,"CTL","",0.19,"mmspasture","2019"
"Congo",59,"SHP","",0.19,"mmspasture","2019"
"Congo",59,"GTS","",0.19,"mmspasture","2019"
"Congo",59,"CML","",0.19,"mmspasture","2019"
"Congo",59,"CHK","",0.19,"mmspasture","2019"
"Congo",59,"PGS","",0.19,"mmspasture","2019"
"Congo",59,"BFL","",0.19,"mmspasture","2019"
"Democratic Republic of the Congo",68,"CTL","DRY",0.13,"","2006; 2019"
"Democratic Republic of the Congo",68,"CTL","",0.1,"","2006; 2019"
"Democratic Republic of the Congo",68,"BFL","",0.1,"","2006; 2019"
"Democratic Republic of the Congo",68,"PGS","",0.29,"","2006; 2019"
"Democratic Republic of the Congo",68,"SHP","",0.13,"","2006; 2019"
"Democratic Republic of the Congo",68,"GTS","",0.13,"","2006; 2019"
"Democratic Republic of the Congo",68,"CML","",0.21,"","2006; 2019"
"Democratic Republic of the Congo",68,"CHK","LAY",0.39,"","2006; 2019"
"Democratic Republic of the Congo",68,"CHK","BRL",0.36,"","2006; 2019"
"Democratic Republic of the Congo",68,"CTL","",0.19,"mmspasture","2019"
"Democratic Republic of the Congo",68,"SHP","",0.19,"mmspasture","2019"
"Democratic Republic of the Congo",68,"GTS","",0.19,"mmspasture","2019"
"Democratic Republic of the Congo",68,"CML","",0.19,"mmspasture","2019"
"Democratic Republic of the Congo",68,"CHK","",0.19,"mmspasture","2019"
"Democratic Republic of the Congo",68,"PGS","",0.19,"mmspasture","2019"
"Democratic Republic of the Congo",68,"BFL","",0.19,"mmspasture","2019"
"Djibouti",70,"CTL","DRY",0.13,"","2006; 2019"
"Djibouti",70,"CTL","",0.1,"","2006; 2019"
"Djibouti",70,"BFL","",0.1,"","2006; 2019"
"Djibouti",70,"PGS","",0.29,"","2006; 2019"
"Djibouti",70,"SHP","",0.13,"","2006; 2019"
"Djibouti",70,"GTS","",0.13,"","2006; 2019"
"Djibouti",70,"CML","",0.21,"","2006; 2019"
"Djibouti",70,"CHK","LAY",0.39,"","2006; 2019"
"Djibouti",70,"CHK","BRL",0.36,"","2006; 2019"
"Djibouti",70,"CTL","",0.19,"mmspasture","2019"
"Djibouti",70,"SHP","",0.19,"mmspasture","2019"
"Djibouti",70,"GTS","",0.19,"mmspasture","2019"
"Djibouti",70,"CML","",0.19,"mmspasture","2019"
"Djibouti",70,"CHK","",0.19,"mmspasture","2019"
"Djibouti",70,"PGS","",0.19,"mmspasture","2019"
"Djibouti",70,"BFL","",0.19,"mmspasture","2019"
"Equatorial Guinea",76,"CTL","DRY",0.13,"","2006; 2019"
"Equatorial Guinea",76,"CTL","",0.1,"","2006; 2019"
"Equatorial Guinea",76,"BFL","",0.1,"","2006; 2019"
"Equatorial Guinea",76,"PGS","",0.29,"","2006; 2019"
"Equatorial Guinea",76,"SHP","",0.13,"","2006; 2019"
"Equatorial Guinea",76,"GTS","",0.13,"","2006; 2019"
"Equatorial Guinea",76,"CML","",0.21,"","2006; 2019"
"Equatorial Guinea",76,"CHK","LAY",0.39,"","2006; 2019"
"Equatorial Guinea",76,"CHK","BRL",0.36,"","2006; 2019"
"Equatorial Guinea",76,"CTL","",0.19,"mmspasture","2019"
"Equatorial Guinea",76,"SHP","",0.19,"mmspasture","2019"
"Equatorial Guinea",76,"GTS","",0.19,"mmspasture","2019"
"Equatorial Guinea",76,"CML","",0.19,"mmspasture","2019"
"Equatorial Guinea",76,"CHK","",0.19,"mmspasture","2019"
"Equatorial Guinea",76,"PGS","",0.19,"mmspasture","2019"
"Equatorial Guinea",76,"BFL","",0.19,"mmspasture","2019"
"Eritrea",77,"CTL","DRY",0.13,"","2006; 2019"
"Eritrea",77,"CTL","",0.1,"","2006; 2019"
"Eritrea",77,"BFL","",0.1,"","2006; 2019"
"Eritrea",77,"PGS","",0.29,"","2006; 2019"
"Eritrea",77,"SHP","",0.13,"","2006; 2019"
"Eritrea",77,"GTS","",0.13,"","2006; 2019"
"Eritrea",77,"CML","",0.21,"","2006; 2019"
"Eritrea",77,"CHK","LAY",0.39,"","2006; 2019"
"Eritrea",77,"CHK","BRL",0.36,"","2006; 2019"
"Eritrea",77,"CTL","",0.19,"mmspasture","2019"
"Eritrea",77,"SHP","",0.19,"mmspasture","2019"
"Eritrea",77,"GTS","",0.19,"mmspasture","2019"
"Eritrea",77,"CML","",0.19,"mmspasture","2019"
