ADM0_CODE,mmspasture,mmsdaily,mmssolid,mmssolidcov,mmssolidbulk,mmssolidadd,mmsdrylot,mmspit1,mmspit3,mmspit4,mmspit6,mmspit12,mmsliquid1,mmsliquid3,mmsliquid4,mmsliquid6,mmsliquid12,mmsliquidnatcov1,mmsliquidnatcov3,mmsliquidnatcov4,mmsliquidnatcov6,mmsliquidnatcov12,mmsliquidsolcov1,mmsliquidsolcov3,mmsliquidsolcov4,mmsliquidsolcov6,mmsliquidsolcov12,mmslagoon,mmsbiogaslowleak1,mmsbiogaslowleak2,mmsbiogaslowleak3,mmsbiogashighleak1,mmsbiogashighleak2,mmsbiogashighleak3,mmsburned,mmsdeepnomix2,mmsdeepnomix1,mmsdeepmix2,mmsdeepmix1,mmscompostves,mmscompoststat,mmscompostint,mmscompostpass,mmslitter,mmsnolitter,mmsareobic,mmsaerproc,ipcc_method
204,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
210,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
223,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
228,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
234,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
236,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
237,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
239,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
256,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
259,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
2647,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
40781,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
147295,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
27,1,0.1,2,2,2,2,1,3,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,68,10,10,10,10,10,10,10,19,3,19,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
34,1,0.1,2,2,2,2,1,3,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,68,10,10,10,10,10,10,10,19,3,19,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
177,1,0.1,2,2,2,2,1,3,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,68,10,10,10,10,10,10,10,19,3,19,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
203,1,0.1,2,2,2,2,1,3,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,68,10,10,10,10,10,10,10,19,3,19,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
224,1,0.1,2,2,2,2,1,3,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,68,10,10,10,10,10,10,10,19,3,19,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
254,1,0.1,2,2,2,2,1,3,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,68,10,10,10,10,10,10,10,19,3,19,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
15,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
85,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
126,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
