"","Domain Code","M49_code","Domain","Year","Area","Year_1","Permanent meadows and pastures","Temporary fallow","Temporary meadows and pastures","past_man_frac"
"119","RL","450","Land Use",2015,"Madagascar",2015,37295,376.8182,339.1556,0.0188359762569408
"120","RL","454","Land Use",2015,"Malawi",2015,1850,459.2158,413.3176,0.320485838667764
"121","RL","458","Land Use",2015,"Malaysia",2015,285,120,92,0.426559356136821
"122","RL","462","Land Use",2015,"Maldives",2015,1,0.4899,0.4409,0.482079966853118
"123","RL","466","Land Use",2015,"Mali",2015,34640,1000,361,0.0378045054304047
"124","RL","470","Land Use",2015,"Malta",2015,NA,0.96,0,1
"125","RL","474","Land Use",2015,"Martinique",2015,14,2.7,0.368,0.179751581907663
"126","RL","478","Land Use",2015,"Mauritania",2015,39250,56.5227,50.8733,0.00272873743984485
"127","RL","480","Land Use",2015,"Mauritius",2015,7,9.4205,8.4789,0.718868727760508
"128","RL","484","Land Use",2015,"Mexico",2015,73937,5080,1942,0.0867352610580664
"129","RL","496","Land Use",2015,"Mongolia",2015,112331.3,304.95,0,0.00270738771931772
"130","RL","498","Land Use",2015,"Republic of Moldova",2015,347,37,0,0.0963541666666667
"131","RL","499","Land Use",2015,"Montenegro",2015,217.6,0.07,1.4,0.00671018395946501
"132","RL","500","Land Use",2015,"Montserrat",2015,1,0.2512,0.2261,0.323089419887633
"133","RL","504","Land Use",2015,"Morocco",2015,21000,1164,466,0.0720282810428635
"134","RL","508","Land Use",2015,"Mozambique",2015,34748,377,971.4172,0.037355984460419
"135","RL","512","Land Use",2015,"Oman",2015,1351,0,31.86,0.0230392085966765
"136","RL","516","Land Use",2015,"Namibia",2015,38000,100.4848,90.4415,0.00499925816148639
"137","RL","524","Land Use",2015,"Nepal",2015,1795.3,41.9091,9.7091,0.02794828704379
"138","RL","528","Land Use",2015,"Netherlands (Kingdom of the)",2015,766,7,242,0.245320197044335
"139","RL","533","Land Use",2015,"Aruba",2015,NA,0.2512,0.2261,1
"140","RL","540","Land Use",2015,"New Caledonia",2015,174.33,1.78,0,0.0101073192890807
"141","RL","548","Land Use",2015,"Vanuatu",2015,42,2.5121,2.261,0.102047972018104
"142","RL","554","Land Use",2015,"New Zealand",2015,10167,60.0397,54.0388,0.0110959662451755
"143","RL","558","Land Use",2015,"Nicaragua",2015,3274,702,0,0.176559356136821
"144","RL","562","Land Use",2015,"Niger",2015,28782,2110.1818,1899.2712,0.122271282092928
"145","RL","566","Land Use",2015,"Nigeria",2015,25140,4534.002,4080.8329,0.255217805849792
