Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","068","Bolivia (Plurinational State of)","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","33000","I","Imputed value",""
"RL","Land Use","070","Bosnia and Herzegovina","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0","A","Official figure",""
"RL","Land Use","070","Bosnia and Herzegovina","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","448","A","Official figure",""
"RL","Land Use","070","Bosnia and Herzegovina","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","1049","A","Official figure",""
"RL","Land Use","072","Botswana","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0","I","Imputed value",""
"RL","Land Use","072","Botswana","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","101.8","A","Official figure",""
"RL","Land Use","072","Botswana","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","25600","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","4677.5871","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","8333.5654","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","172451.2","I","Imputed value",""
"RL","Land Use","092","British Virgin Islands","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0.1131","I","Imputed value",""
"RL","Land Use","092","British Virgin Islands","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","0.1256","I","Imputed value",""
"RL","Land Use","092","British Virgin Islands","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","5","I","Imputed value",""
"RL","Land Use","096","Brunei Darussalam","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0.4354","I","Imputed value",""
"RL","Land Use","096","Brunei Darussalam","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","0.5024","I","Imputed value",""
"RL","Land Use","096","Brunei Darussalam","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","3.4","I","Imputed value",""
"RL","Land Use","100","Bulgaria","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","94.7","A","Official figure",""
"RL","Land Use","100","Bulgaria","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","235.2","A","Official figure",""
"RL","Land Use","100","Bulgaria","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","1368.7","A","Official figure",""
"RL","Land Use","854","Burkina Faso","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","424.0019","I","Imputed value",""
"RL","Land Use","854","Burkina Faso","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","641.0464","I","Imputed value",""
"RL","Land Use","854","Burkina Faso","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","6000","I","Imputed value",""
"RL","Land Use","108","Burundi","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","62.269","I","Imputed value",""
"RL","Land Use","108","Burundi","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","69.646","I","Imputed value",""
"RL","Land Use","108","Burundi","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","483","A","Official figure",""
"RL","Land Use","132","Cabo Verde","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","5.6526","I","Imputed value",""
"RL","Land Use","132","Cabo Verde","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","6.2803","I","Imputed value",""
"RL","Land Use","132","Cabo Verde","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","25","I","Imputed value",""
"RL","Land Use","116","Cambodia","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","1.2062","I","Imputed value",""
"RL","Land Use","116","Cambodia","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","17.1388","I","Imputed value",""
"RL","Land Use","116","Cambodia","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","1500","I","Imputed value",""
