herd_id	species_short	cohort_short	live_weight_cohort_average	offtake_rate	low_activity_fraction	high_activity_fraction	live_weight_cohort_initial	live_weight_cohort_final	live_weight_mature_stage	daily_weight_gain	cohort_duration_days	ration_digestibility_fraction	ration_gross_energy	ration_metabolizable_energy	cohort_stock_size	nondemo_productive_phase_id	is_egg_producing
10	PGS	FA	64	0	0.2	0	64	64	64	0	3650	0.549536391482469	18.236	9.235	339686.068065356		
10	PGS	FJ	3.5	0.2	0.2	0	1	6	64	0.0555555555555556	90	0.972868217054264	25.8	24.1	372725.99043537		
10	PGS	FN	15	1	0.2	0	6	24	60	0.2	90	0.549536391482469	18.236	9.235	125014.533305167	1	
10	PGS	FN	42	1	0.2	0	24	60	60	0.2	180	0.549536391482469	18.236	9.235	122275.15120269	2	
10	PGS	FS	33.096	0.952	0.2	0	6	60.192	64	0.170588235294118	340	0.549536391482469	18.236	9.235	162437.776256208		
10	PGS	MA	71	0	0.2	0	71	71	71	0	3650	0.549536391482469	18.236	9.235	214636.478678238		
10	PGS	MJ	3.5	0	0.2	0	1	6	71	0.0555555555555556	90	0.972868217054264	25.8	24.1	419799.957790273		
10	PGS	MN	15	1	0.2	0	6	24	60	0.2	90	0.549536391482469	18.236	9.235	161413.856084349	1	
10	PGS	MN	42	1	0.2	0	24	60	60	0.2	180	0.549536391482469	18.236	9.235	157876.873489134	2	
10	PGS	MS	33.143	0.974	0.2	0	6	60.286	71	0.191176470588235	340	0.549536391482469	18.236	9.235	174133.314693215		
11	CML	FA	352	0	1	0	352	352	352	0	5000	0.613144762061043	18.14	8.8456	3028327.44706306		
11	CML	FJ	74.35	0	1	0	28.7	120	352	0.246756756756757	370	0.972972972972973	22.2	20.7	556741.55701959		
11	CML	FS	236	0	1	0	120	352	352	0.105936073059361	2190	0.613144762061043	18.14	8.8456	2402477.56840919		
11	CML	MA	382	0.004	1	0	382	382	382	0	5000	0.613144762061043	18.14	8.8456	47080.5934887761		
11	CML	MJ	74.35	0	1	0	28.7	120	382	0.246756756756757	370	0.972972972972973	22.2	20.7	556741.55701959		
11	CML	MS	251	0.496	1	0	120	382	382	0.119634703196347	2190	0.613144762061043	18.14	8.8456	618631.2769998		
12	CML	FA	537	0	0	0	537	537	537	0	5000	0.596894110645384	18.116	8.6922	148890.884111919		
12	CML	FJ	91.35	0	0	0	32.7	150	537	0.321369863013699	365	0.972972972972973	22.2	20.7	50931.7285803687		
12	CML	FS	343.5	0	0	0	150	537	537	0.30234375	1280	0.596894110645384	18.116	8.6922	113864.119596835		
12	CML	MA	572	0.004	0	0	572	572	572	0	5000	0.596894110645384	18.116	8.6922	14609.7668635523		
12	CML	MJ	91.35	0	0	0	32.7	150	572	0.321369863013699	365	0.972972972972973	22.2	20.7	50931.7285803687		
12	CML	MS	361	0.5	0	0	150	572	572	0.3296875	1280	0.596894110645384	18.116	8.6922	50771.7722669562		
13	CHK	FA	1.8	0.18	0.15	0.05	1.8	1.8	1.8	0	365	0.790296762581842	18.857	14.185	892.792962650236		TRUE
13	CHK	FJ	0.04	0.08	0.15	0.05	0.04	0.04	1.8	0	3	0.972868217054264	25.8	24.1	114.099786877768		FALSE
13	CHK	FS	0.908	0.12	0.15	0.05	0.04	1.776	1.8	0.0105389221556886	167	0.790296762581842	18.857	14.185	2056.27029031973		FALSE
13	CHK	MA	2.4	0.75	0.15	0.05	2.4	2.4	2.4	0	365	0.790296762581842	18.857	14.185	287.571839391595		FALSE
13	CHK	MJ	0.04	0.12	0.15	0.05	0.04	0.04	2.4	0	3	0.972868217054264	25.8	24.1	112.419942387734		FALSE
13	CHK	MS	1.115	0.7	0.15	0.05	0.04	2.19	2.4	0.0141317365269461	167	0.790296762581842	18.857	14.185	1536.84517837294		FALSE
