Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","724","Spain","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","2391525","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5318","Milk Animals","02212","Raw milk of buffalo","2015","2015","An","87000","E","Estimated value",""
"QCL","Crops and livestock products","144","Sri Lanka","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","301140","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","130915","I","Imputed value",""
"QCL","Crops and livestock products","729","Sudan","5318","Milk Animals","02293","Raw milk of camel","2015","2015","An","1684000","A","Official figure",""
"QCL","Crops and livestock products","729","Sudan","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","8708000","A","Official figure",""
"QCL","Crops and livestock products","729","Sudan","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","17590000","A","Official figure",""
"QCL","Crops and livestock products","729","Sudan","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","22595000","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","1650","E","Estimated value",""
"QCL","Crops and livestock products","752","Sweden","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","336801","A","Official figure",""
"QCL","Crops and livestock products","756","Switzerland","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","574537","A","Official figure",""
"QCL","Crops and livestock products","756","Switzerland","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","34935","A","Official figure",""
"QCL","Crops and livestock products","756","Switzerland","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","13564","A","Official figure",""
"QCL","Crops and livestock products","760","Syrian Arab Republic","5318","Milk Animals","02212","Raw milk of buffalo","2015","2015","An","3900","E","Estimated value",""
"QCL","Crops and livestock products","760","Syrian Arab Republic","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","539827","I","Imputed value",""
"QCL","Crops and livestock products","760","Syrian Arab Republic","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","1473793","I","Imputed value",""
"QCL","Crops and livestock products","760","Syrian Arab Republic","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","10879357","I","Imputed value",""
"QCL","Crops and livestock products","762","Tajikistan","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","1132000","A","Official figure",""
"QCL","Crops and livestock products","762","Tajikistan","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","209995","I","Imputed value",""
"QCL","Crops and livestock products","764","Thailand","5318","Milk Animals","02212","Raw milk of buffalo","2015","2015","An","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","764","Thailand","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","253600","E","Estimated value",""
"QCL","Crops and livestock products","626","Timor-Leste","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","38628","I","Imputed value",""
"QCL","Crops and livestock products","768","Togo","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","65189","I","Imputed value",""
"QCL","Crops and livestock products","776","Tonga","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","205","I","Imputed value",""
